usuario execucao,flag,dia semana,data,horario,comando,hostname,usuario remoto,host,porta,sucesso execucao remoto,erro
gabriel,True,Tuesday,03/08/2022,02:06:40,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:06:41,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:06:41,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:06:42,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:06:42,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:06:43,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:06:43,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:06:44,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:06:44,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:06:45,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:06:45,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:06:46,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:06:46,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:34,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:35,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:36,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:36,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:37,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:37,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:37,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:38,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:38,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:39,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:39,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:40,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:40,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:41,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:41,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:42,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:42,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:43,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:43,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:43,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:44,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:44,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:45,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:45,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:46,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:46,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:47,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:48,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:48,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:48,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:49,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:49,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:50,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:51,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:51,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:52,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:52,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:53,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,02:07:53,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,02:07:54,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:10:21,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:10:22,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:12:05,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:12:06,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:18:06,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:18:06,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:18:18,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:18:19,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:21:18,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:21:19,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:21:28,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:21:29,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:22:55,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:22:55,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:22:56,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:22:56,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:22:57,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:22:57,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:22:58,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:22:58,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:22:59,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:22:59,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:00,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:00,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:00,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:01,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:01,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:02,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:03,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:03,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:04,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:04,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:05,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:05,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:06,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:06,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:07,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:07,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:08,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:08,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:09,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:09,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:10,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:10,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:10,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:11,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:11,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:12,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:12,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:13,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:13,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:14,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:23,ls,Maquina01,gabriel,127.0.0.1,3022,True,
gabriel,True,Tuesday,03/08/2022,03:23:23,ls,Maquina02 Clone,gabriel,127.0.0.1,3023,True,
gabriel,True,Tuesday,03/08/2022,03:23:24,ls,Maquina01,gabriel,127.0.0.1,3022,True,
